01Cyberaton Proenergy SA;01CYBATON;01C
Marie Brizard Wine & Spirits S.A.;MBWS;MBW
Marka SA w restrukturyzacji;MARKA;MRK
Marvipol Development SA;MARVIPOL;MVP
Massmedica SA;MSM;MSM
Master Pharm SA;MASTERPHA;MPH
Matrx Pharmaceuticals SA;SPAC1;SP1
Maxcom SA;MAXCOM;MXC
Maximus SA;MAXIMUS;MAX
Maxipizza SA;MAXIPIZZA;MXP
mBank SA;MBANK;MBK
MBF Group SA;MBFGROUP;MBF
MCI Capital ASI SA;MCI;MCI
MDI Energia SA;MDIENERGIA;MDI
MedApp SA;MEDAPP;MDA
Medard SA;MEDARD;MRD
Medcamp SA;MEDCAMP;MDP
Mediacap SA;MEDIACAP;MCP
Median Polska SA;MEDIANPOL;MDN
Medical Cannabis SA;GENERGY;GNR
Medicalgorithmics SA;MEDICALG;MDG
Medicofarma Biotech SA;MEDICOBIO;MDB
Medinice SA;MEDINICE;ICE
Mega Sonic SA;MEGASONIC;MGA
Megaron SA;MEGARON;MEG
Mennica Polska SA;MENNICA;MNC
Mennica Skarbowa SA;MENNICASK;MNS
Mera SA;MERA;MER
Mercator Medical SA;MERCATOR;MRC
Mercor SA;MERCOR;MCR
Merit Investments ASI SA;MERIT;MEI
Merlin Group SA;MERLINGRP;MRG
Mex Polska SA;MEXPOLSKA;MEX
MFO SA;MFO;MFO
Milestone Medical Inc.;MILESTONE;MMD
Milkiland NV;MILKILAND;MLK
Milkpol SA;MILKPOL;MLP
Milton Essex SA;MILTON;MTN
Mineral Midrange SA;MINERAL;MND
Minox SA;MINOX;MNX
Miraculum SA;MIRACULUM;MIR
Mirbud SA;MIRBUD;MRB
ML System SA;MLSYSTEM;MLS
MLP Group SA;MLPGROUP;MLG
MM Conferences SA;MMCPL;MMC
Mo-Bruk SA;MOBRUK;MBR
Mode SA;MODE;MOE
Modern Commerce SA;MODERNCOM;MCE
Module Technologies SA ;LSTECHHOM;LSH
MOJ SA;MOJ;MOJ
MOL Rt.;MOL;MOL
Monnari Trade SA;MONNARI;MON
Moonlit SA;MOONLIT;MLT
Mostostal Płock SA;MOSTALPLC;MSP
Mostostal Warszawa SA;MOSTALWAR;MSW
Mostostal Zabrze SA;MOSTALZAB;MSZ
Motoricus SA;MOTORICUS;MTR
Movie Games SA;MOVIEGAMES;MOV
mPay SA;MPAY;MPY
MPL Verbum SA;MPLVERBUM;VER
Mr Hamburger SA;HAMBURGER;MRH
M-Trans SA;MTRANS;MTS
Muza SA;MUZA;MZA
MVA Green Energy SA;GREENENER;GRE
MW Trade SA;MWTRADE;MWT
NanoGroup SA;NANOGROUP;NNG
Neptis SA;NEPTIS;YAN
Nestmedic SA;NESTMEDIC;NST
Netia SA;NETIA;NET
Netwise SA;NETWISE;NTW
Neuca SA;NEUCA;NEU
Neurone Studio SA;NEURONE;NRS
New Tech Venture SA;UNITED;UTD
Newag SA;NEWAG;NWG
Nexity Global SA;NEXITY;NXG
Nextbike Polska SA w restrukturyzacji;NEXTBIKE;NXB
No Gravity Games SA;NGGAMES;NGG
Noble Financials SA;IBSM;IBS
Notoria Serwis SA;NOTORIA;NTS
Novaturas AB;NOVATURAS;NTU
Novavis Group SA;NOVAVISGR;NVG
Novavis SA;NOVAVIS;NVV
Novina SA;NOVINA;NOV
Novita SA;NOVITA;NVT
Nowoczesna Firma SA;NFPL;NFP
NTT System SA;NTTSYSTEM;NTT
NWAI Dom Maklerski SA;NWAI;NWA
Octava SA;08OCTAVA;08N
Odlewnie Polskie SA;ODLEWNIE;ODL
OEX SA;OEX;OEX
OncoArendi Therapeutics SA;OAT;OAT
One More Level SA;ONEMORE;OML
ONE SA;FMG;FMG
Onico SA w restrukturyzacji ;ONICO;ONC
Open Finance SA;OPENFIN;OPF
Oponeo.pl SA;OPONEO.PL;OPN
OPTeam SA;OPTEAM;OPM
Optigis SA;IMAGIS;IMG
Optizen Labs SA;OPTIZENLB;OPT
Orange Polska SA;ORANGEPL;OPL
Organic Farma Zdrowia SA;ORGANIC;ORG
Orzeł Biały SA;ORZBIALY;OBL
Orzeł SA;ORZLOPONY;ORL
OT Logistics SA;OTLOG;OTS
Outdoorzy SA;OUTDOORZY;OUT
Ovid Works SA;OVIDWORKS;OVI
Ovostar Union NV;OVOSTAR;OVO
Oxygen SA;OXYGEN;OXY
OZE Capital SA;OZECAPITAL;OZE
PA Nova SA;PANOVA;NVA
Pamapol SA;PAMAPOL;PMP
Parcel Technik SA;PARCELTEC;PTE
PartnerBud SA w upadłości;AWBUD;AWB
Partner-Nieruchomości SA;PARTNER;PRN
Passus SA;PASSUS;PAS
Patent Fund SA w likwidacji;PATFUND;PFD
Patentus SA;PATENTUS;PAT
PBG SA w restrukturyzacji;PBG;PBG
PBS Finanse SA;PBSFINANSE;PBF
PC Guard SA;PCGUARD;PCG
PCC Exol SA;PCCEXOL;PCX
PCC Rokita SA;PCCROKITA;PCR
PCF Group SA;PCFGROUP;PCF
Peixin International Group NV;PEIXIN;PEX
Pekabex SA;PEKABEX;PBX
Pepees SA;PEPEES;PPS
Perma-Fix Medical SA;PFMEDICAL;PFM
PGE SA;PGE;PGE
PGF Polska Grupa Fotowoltaiczna SA;PGFGROUP;PGV
PGNiG SA;PGNIG;PGN
PGO SA;PGO;PGO
PGS Software SA;PGSSOFT;PSW
Pharmena SA;PHARMENA;PHR
PHN SA;PHN;PHN
Photon Energy NV;PHOTON;PEN
PJP Makrum SA;PROJPRZEM;PJP
PKN Orlen SA;PKNORLEN;PKN
PKO BP SA;PKOBP;PKO
PKP Cargo SA;PKPCARGO;PKP
PL Group SA;PLGROUP;PLG
Planet B2B SA;PLANETB2B;P2B
Planet Innovation Group SA;PLANETINN;PIG
Plantwear SA;PLANTWEAR;PNW
Plasma System SA w restrukturyzacji;PLASMA;PSM
Plast-Box SA;PLASTBOX;PLX
Platige Image SA;PLATIGE;PLI
Platynowe Inwestycje SE;PLATYNINW;PIW
Play Communications SA;PLAY;PLY
Play2Chill SA;P2CHILL;P2C
PlayWay SA;PLAYWAY;PLW
Plaza Centers NV;PLAZACNTR;PLZ
PMPG Polskie Media SA;PMPG;PGM
Pointpack SA;POINTPACK;PNT
Polaris IT Group SA;POLARISIT;PIT
Polenergia SA;PEP;PEP
Police SA;POLICE;PCE
Polimex Mostostal SA;POLIMEXMS;PXM
Polman SA;POLMAN;PLM
Polnord SA;POLNORD;PND
Polski Bank Komórek Macierzystych SA;PBKM;BKM
Poltronic SA;POLTRONIC;PTN
Polwax SA;POLWAX;PWX
Polyslash SA;POLYSLASH;PSH
Pozbud SA;POZBUD;POZ
Pragma Inkaso SA;PRAGMAINK;PRI
PragmaGO SA;PRAGMAFA;PRF
Prairie Mining Ltd.;PRAIRIE;PDZ
Prefa Group SA;PREFAGRP;PFG
Prefabet-Białe Błota SA w restrukturyzacji;PREFABET;PBB
Present24 SA;PRESENT24;P24
Presto SA w upadłości;PRESTO;PST
Prima Moda SA;PRIMAMODA;PMA
Prima Park SA w restrukturyzacji;KLEBAINV;KIN
Prime Bit Games SA;PBGAMES;PBT
Primetech SA;PRIMETECH;PTH
Private Equity Managers SA;PEMANAGER;PEM
Procad SA;PROCAD;PRD
Prochem SA;PROCHEM;PRM
Property Lease Fund SA;PROPERTYF;PLE
Protektor SA;PROTEKTOR;PRT
Prymus SA;PRYMUS;PRS
PTWP SA;PTWP;PTW
Puławy SA;PULAWY;ZAP
PunkPirates SA;PUNKPIRAT;PUN
Pure Biologics SA;PURE;PUR
Pylon SA;PYLON;PYL
Pyramid Games SA;PYRAMID;PDG
PZ Cormay SA;CORMAY;CRM
PZU SA;PZU;PZU
Quantum Software SA;QUANTUM;QNT
Quart Development SA;QUART;QRT
QuarticOn SA;QUARTICON;QON
QubicGames SA;QUBICGMS;QUB
Quercus TFI SA;QUERCUS;QRS
R22 SA;R22;R22
Radpol SA;RADPOL;RDL
Rafako SA w restrukturyzacji;RAFAKO;RFK
Rafamet SA;RAFAMET;RAF
Rainbow Tours SA;RAINBOW;RBW
Rank Progress SA;RANKPROGR;RNK
Rawlplug SA;RAWLPLUG;RWL
Read-Gene SA;READGENE;RDG
ReChain SA;REVITUM;REV
Red Dev Studio SA;REDDEV;RDS
Redan SA;REDAN;RDN
Regnon SA w likwidacji;REGNON;REG
Reinhold Europe AB;REINHOLD;RHD
Reino Capital SA;REINO;RNC
Relpol SA;RELPOL;RLP
Remak-Energomontaż SA;REMAK;RMK
Remedis SA w restrukturyzacji;REMEDIS;REM
Remor Solar Polska SA;REMORSOL;RSP
Resbud SE;RESBUD;RES
Robinson Europe SA;ROBINSON;RBS
Rocca SA;ROCCA;RCA
Ronson Development SE;RONSON;RON
Rovita SA;ROVITA;ROV
Ruch Chorzów SA;RUCHCHORZ;RCW
Ryvu Therapeutics SA;RYVU;RVU
S4E SA;S4E;S4E
Sadovaya Group SA;SADOVAYA;SGR
Sakana SA;SAKANA;SKN
Sanok Rubber Company SA;SANOK;SNK
Santander Bank Polska SA;SANPL;SPL
Sanwil SA;SANWIL;SNW
Satis Group SA w restrukturyzacji;IALBGR;IAG
Scope Fluidics SA;SCPFL;SCP
Seco/Warwick SA;SECOGROUP;SWG
Seko SA;SEKO;SEK
Selena FM SA;SELENAFM;SEL
Selvita SA;SELVITA;SLV
Serinus Energy plc;SERINUS;SEN
Sescom SA;SESCOM;SES
Sevenet SA;SEVENET;SEV
SFD SA;SFD;SFD
SferaNet SA;SFERANET;SFN
Sfinks Polska SA;SFINKS;SFS
ShockWork Games SA;SHOCKWORK;SWK
Silvair Inc.;SILVAIR-REGS;SVRS
Silvano Group AS;SILVANO;SFG
SimFabric SA;SIMFABRIC;SIM
Simple SA;SIMPLE;SME
Simteract SA;SIMTERACT;SMT
Skarbiec Holding SA;SKARBIEC;SKH
Skinwallet SA;SWALLET;SWT
